year	month	area_this_epoch	area_next_epoch
d	d	d	d
1999	8	SLE	SLE
1999	10	SLE	SLE
1999	3	NLE	NLE
1999	5	SLE	SLE
1999	8	SLE	SLE
1999	10	SLE	SLE
1999	1	SLE	NLE
1999	3	SLE	SLE
1999	5	SLE	SLE
1999	7	SLE	SLE
1999	1	SLE	NLE
1999	7	NLE	NLE
1999	8	SLE	SLE
1999	10	SLE	NLE
1999	1	NLE	NLE
1999	3	NLE	NLE
1999	5	NLE	CEN
1999	7	CEN	CEN
1999	8	SLE	SLE
1999	7	NLE	NLE
1999	8	NLE	NLE
1999	10	NLE	NLE
1999	1	SLE	SLE
1999	1	SLE	NLE
1999	3	SLE	SLE
1999	5	SLE	SLE
1999	7	SLE	NLE
1999	8	NLE	ION
1999	10	ION	AEG
1999	3	SLE	SLE
1999	1	SLE	NLE
1999	3	SLE	SLE
1999	7	SLE	SLE
1999	5	ION	ION
1999	7	ION	CEN
1999	8	CEN	CEN
1999	10	SLE	SLE
1999	1	NLE	NLE
1999	3	NLE	NLE
1999	5	NLE	SLE
1999	7	SLE	CEN
1999	8	ION	SLE
1999	10	SLE	SLE
1999	1	NLE	NLE
1999	3	NLE	NLE
1999	5	SLE	SLE
1999	7	SLE	SLE
1999	10	SLE	SLE
1999	1	SLE	NLE
1999	3	NLE	NLE
1999	5	SLE	SLE
1999	1	NLE	NLE
1999	3	NLE	AEG
1999	3	NLE	SLE
1999	1	NLE	NLE
1999	3	NLE	NLE
1999	5	NLE	NLE
1999	7	NLE	NLE
1999	10	ION	AEG
1999	1	NLE	NLE
1999	2	ALB	ALB
1999	4	NWE	NWE
1999	6	NWE	NWE
1999	2	ALB	ALB
1999	4	ALB	SWE
1999	6	SWE	SWE
1999	7	NWE	NWE
1999	9	SWE	SWE
1999	11	TYR	CEN
1999	7	SWE	TYR
1999	9	TYR	TYR
1999	11	TYR	TYR
1999	2	ALB	ALB
1999	4	SWE	SWE
1999	6	SWE	SWE
1999	7	SWE	SWE
1999	9	SWE	TYR
1999	11	TYR	CEN
1999	2	ALB	SWE
1999	4	SWE	SWE
1999	6	SWE	SWE
1999	7	SWE	SWE
1999	9	NWE	NWE
1999	4	SWE	SWE
1999	6	SWE	SWE
1999	7	NWE	SWE
1999	9	SWE	NWE
1999	2	ALB	SWE
1999	4	SWE	SWE
1999	6	SWE	SWE
1999	7	SWE	SWE
1999	9	NWE	NWE
1999	11	SWE	SWE
1999	2	ALB	ALB
1999	6	ALB	SWE
1999	7	NWE	NWE
1999	9	SWE	NWE
1999	11	NWE	NWE
1999	2	ALB	SWE
1999	4	SWE	SWE
1999	6	SWE	SWE
1999	7	NWE	SWE
1999	9	SWE	SWE
1999	11	SWE	SWE
1999	2	ALB	SWE
1999	4	NWE	NWE
1999	2	SWE	SWE
1999	2	SWE	NWE
1999	4	NWE	SWE
1999	6	NWE	SWE
1999	4	NWE	SWE
1999	6	TYR	CEN
1999	7	CEN	CEN
1999	9	CEN	CEN
1999	11	CEN	CEN
1999	2	NWE	NWE
1999	4	SWE	NWE
1999	4	SWE	SWE
1999	9	CEN	CEN
1999	11	CEN	CEN
1999	2	SWE	SWE
1999	4	SWE	SWE
1999	6	SWE	SWE
1999	7	SWE	SWE
1999	9	SWE	SWE
1999	11	SWE	SWE
1999	4	NWE	SWE
1999	11	CEN	CEN
1999	2	SWE	NWE
1999	2	NWE	SWE
1999	4	SWE	SWE
1999	6	SWE	SWE
1999	6	NWE	SWE
1999	11	TYR	TYR
1999	2	NWE	NWE
