supp	conf	cove	year	month	area_this_epoch	lonm_this_epoch	latm_this_epoch	area_next_epoch	lonm_next_epoch	latm_next_epoch
0.000027	0.400000	0.000068	1999	3	ALB	-2.555600	36.178800	ALB	-2.555600	36.178800
0.000007	0.100000	0.000068	1999	3	ALB	-2.555600	36.178800	NWE	-2.555600	36.178800
0.000034	0.500000	0.000068	1999	3	ALB	-2.555600	36.178800	SWE	4.799800	38.025700
0.000568	0.846939	0.000670	1999	3	CEN	-2.555600	36.178800	CEN	4.799800	38.025700
0.000021	0.030612	0.000670	1999	3	CEN	-2.555600	36.178800	ION	4.799800	38.025700
0.000082	0.122449	0.000670	1999	3	CEN	-2.555600	36.178800	SLE	28.656000	33.044300
0.000027	0.111111	0.000246	1999	3	ION	-2.555600	36.178800	CEN	28.656000	33.044300
0.000219	0.888889	0.000246	1999	3	ION	-2.555600	36.178800	ION	28.656000	33.044300
0.000014	0.055556	0.000246	1999	3	NLE	31.774200	35.347200	AEG	25.031300	37.882500
0.000178	0.722222	0.000246	1999	3	NLE	31.774200	35.347200	NLE	31.774200	35.347200
0.000055	0.222222	0.000246	1999	3	NLE	31.774200	35.347200	SLE	28.656000	33.044300
0.000321	0.870370	0.000369	1999	3	NWE	31.774200	35.347200	NWE	28.656000	33.044300
0.000048	0.129630	0.000369	1999	3	NWE	31.774200	35.347200	SWE	4.799800	38.025700
0.000021	0.044776	0.000458	1999	3	SLE	28.656000	33.044300	CEN	4.799800	38.025700
0.000048	0.104478	0.000458	1999	3	SLE	28.656000	33.044300	NLE	31.774200	35.347200
0.000390	0.850746	0.000458	1999	3	SLE	28.656000	33.044300	SLE	28.656000	33.044300
0.000007	0.025641	0.000267	1999	3	SWE	4.799800	38.025700	CEN	28.656000	33.044300
0.000048	0.179487	0.000267	1999	3	SWE	4.799800	38.025700	NWE	28.656000	33.044300
0.000178	0.666667	0.000267	1999	3	SWE	4.799800	38.025700	SWE	4.799800	38.025700
0.000034	0.128205	0.000267	1999	3	SWE	4.799800	38.025700	TYR	4.799800	38.025700
0.000027	0.081633	0.000335	1999	3	TYR	4.799800	38.025700	CEN	4.799800	38.025700
0.000014	0.040816	0.000335	1999	3	TYR	4.799800	38.025700	NWE	4.799800	38.025700
0.000294	0.877551	0.000335	1999	3	TYR	4.799800	38.025700	TYR	4.799800	38.025700
0.000157	1.000000	0.000157	1999	4	ADR	15.921000	42.786200	ADR	15.921000	42.786200
0.000150	1.000000	0.000150	1999	4	AEG	25.031300	37.882500	AEG	25.031300	37.882500
0.000027	0.400000	0.000068	1999	4	ALB	-2.555600	36.178800	ALB	-2.555600	36.178800
0.000014	0.200000	0.000068	1999	4	ALB	-2.555600	36.178800	NWE	-2.555600	36.178800
0.000027	0.400000	0.000068	1999	4	ALB	-2.555600	36.178800	SWE	4.799800	38.025700
0.000568	0.864583	0.000657	1999	4	CEN	-2.555600	36.178800	CEN	4.799800	38.025700
0.000027	0.041667	0.000657	1999	4	CEN	-2.555600	36.178800	ION	4.799800	38.025700
0.000062	0.093750	0.000657	1999	4	CEN	-2.555600	36.178800	SLE	28.656000	33.044300
0.000007	0.033333	0.000205	1999	4	ION	-2.555600	36.178800	CEN	28.656000	33.044300
0.000198	0.966667	0.000205	1999	4	ION	-2.555600	36.178800	ION	28.656000	33.044300
0.000007	0.032258	0.000212	1999	4	NLE	31.774200	35.347200	AEG	25.031300	37.882500
0.000157	0.741935	0.000212	1999	4	NLE	31.774200	35.347200	NLE	31.774200	35.347200
0.000048	0.225806	0.000212	1999	4	NLE	31.774200	35.347200	SLE	28.656000	33.044300
0.000267	0.735849	0.000363	1999	4	NWE	31.774200	35.347200	NWE	28.656000	33.044300
0.000089	0.245283	0.000363	1999	4	NWE	31.774200	35.347200	SWE	4.799800	38.025700
0.000007	0.018868	0.000363	1999	4	NWE	31.774200	35.347200	TYR	4.799800	38.025700
0.000007	0.014925	0.000458	1999	4	SLE	28.656000	33.044300	CEN	4.799800	38.025700
0.000055	0.119403	0.000458	1999	4	SLE	28.656000	33.044300	NLE	31.774200	35.347200
0.000397	0.865672	0.000458	1999	4	SLE	28.656000	33.044300	SLE	28.656000	33.044300
0.000007	0.021739	0.000315	1999	4	SWE	4.799800	38.025700	CEN	28.656000	33.044300
0.000021	0.065217	0.000315	1999	4	SWE	4.799800	38.025700	NWE	28.656000	33.044300
0.000253	0.804348	0.000315	1999	4	SWE	4.799800	38.025700	SWE	4.799800	38.025700
0.000034	0.108696	0.000315	1999	4	SWE	4.799800	38.025700	TYR	4.799800	38.025700
0.000014	0.044444	0.000308	1999	4	TYR	4.799800	38.025700	CEN	4.799800	38.025700
0.000014	0.044444	0.000308	1999	4	TYR	4.799800	38.025700	NWE	4.799800	38.025700
0.000007	0.022222	0.000308	1999	4	TYR	4.799800	38.025700	SWE	4.799800	38.025700
0.000274	0.888889	0.000308	1999	4	TYR	4.799800	38.025700	TYR	4.799800	38.025700
0.000219	1.000000	0.000219	1999	5	ADR	15.921000	42.786200	ADR	15.921000	42.786200
0.000192	0.965517	0.000198	1999	5	AEG	25.031300	37.882500	AEG	25.031300	37.882500
0.000007	0.034483	0.000198	1999	5	AEG	25.031300	37.882500	CEN	25.031300	37.882500
0.000048	0.636364	0.000075	1999	5	ALB	-2.555600	36.178800	ALB	-2.555600	36.178800
0.000027	0.363636	0.000075	1999	5	ALB	-2.555600	36.178800	SWE	4.799800	38.025700
0.000780	0.876923	0.000889	1999	5	CEN	-2.555600	36.178800	CEN	4.799800	38.025700
0.000034	0.038462	0.000889	1999	5	CEN	-2.555600	36.178800	ION	4.799800	38.025700
0.000075	0.084615	0.000889	1999	5	CEN	-2.555600	36.178800	SLE	28.656000	33.044300
0.000021	0.066667	0.000308	1999	5	ION	-2.555600	36.178800	ADR	15.921000	42.786200
0.000027	0.088889	0.000308	1999	5	ION	-2.555600	36.178800	CEN	15.921000	42.786200
0.000260	0.844444	0.000308	1999	5	ION	-2.555600	36.178800	ION	15.921000	42.786200
0.000021	0.073171	0.000280	1999	5	NLE	31.774200	35.347200	AEG	25.031300	37.882500
0.000007	0.024390	0.000280	1999	5	NLE	31.774200	35.347200	CEN	25.031300	37.882500
0.000137	0.487805	0.000280	1999	5	NLE	31.774200	35.347200	NLE	31.774200	35.347200
0.000116	0.414634	0.000280	1999	5	NLE	31.774200	35.347200	SLE	28.656000	33.044300
0.000417	0.871429	0.000479	1999	5	NWE	31.774200	35.347200	NWE	28.656000	33.044300
0.000055	0.114286	0.000479	1999	5	NWE	31.774200	35.347200	SWE	4.799800	38.025700
0.000007	0.014286	0.000479	1999	5	NWE	31.774200	35.347200	TYR	4.799800	38.025700
0.000027	0.038462	0.000711	1999	5	SLE	28.656000	33.044300	CEN	4.799800	38.025700
0.000021	0.028846	0.000711	1999	5	SLE	28.656000	33.044300	NLE	31.774200	35.347200
0.000663	0.932692	0.000711	1999	5	SLE	28.656000	33.044300	SLE	28.656000	33.044300
0.000014	0.037736	0.000363	1999	5	SWE	4.799800	38.025700	CEN	28.656000	33.044300
0.000048	0.132075	0.000363	1999	5	SWE	4.799800	38.025700	NWE	28.656000	33.044300
0.000246	0.679245	0.000363	1999	5	SWE	4.799800	38.025700	SWE	4.799800	38.025700
0.000055	0.150943	0.000363	1999	5	SWE	4.799800	38.025700	TYR	4.799800	38.025700
0.000021	0.044118	0.000465	1999	5	TYR	4.799800	38.025700	CEN	4.799800	38.025700
0.000055	0.117647	0.000465	1999	5	TYR	4.799800	38.025700	NWE	4.799800	38.025700
0.000390	0.838235	0.000465	1999	5	TYR	4.799800	38.025700	TYR	4.799800	38.025700
0.000219	0.941176	0.000233	1999	6	ADR	15.921000	42.786200	ADR	15.921000	42.786200
0.000014	0.058824	0.000233	1999	6	ADR	15.921000	42.786200	ION	15.921000	42.786200
0.000198	0.878788	0.000226	1999	6	AEG	25.031300	37.882500	AEG	25.031300	37.882500
0.000021	0.090909	0.000226	1999	6	AEG	25.031300	37.882500	CEN	25.031300	37.882500
0.000007	0.030303	0.000226	1999	6	AEG	25.031300	37.882500	ION	25.031300	37.882500
0.000048	0.583333	0.000082	1999	6	ALB	-2.555600	36.178800	ALB	-2.555600	36.178800
0.000007	0.083333	0.000082	1999	6	ALB	-2.555600	36.178800	NWE	-2.555600	36.178800
0.000027	0.333333	0.000082	1999	6	ALB	-2.555600	36.178800	SWE	4.799800	38.025700
0.000869	0.913669	0.000951	1999	6	CEN	-2.555600	36.178800	CEN	4.799800	38.025700
